token	corpus size	all contexts size	frequency	co-frequency	specificity
போகிற	109600	2670	1	1	1.61
ரகுமானுடைய	109600	2670	1	1	1.61
சுவரொட்டி,	109600	2670	1	1	1.61
பதாகைகள்	109600	2670	1	1	1.61
வைத்தார்கள்.	109600	2670	1	1	1.61
விற்கப்பட்டு	109600	2670	1	1	1.61
வண்ணங்கள்.படம்	109600	2670	1	1	1.61
எடுக்கறது	109600	2670	1	1	1.61
தெரிஞ்சுக்கறதுக்கு	109600	2670	1	1	1.61
தெரியனும்!!	109600	2670	1	1	1.61
ஊருல	109600	2670	1	1	1.61
எம்புட்டு	109600	2670	1	1	1.61
குளிரா	109600	2670	1	1	1.61
இருக்கும்னு	109600	2670	1	1	1.61
(இவரு	109600	2670	1	1	1.61
எடுத்ததும்	109600	2670	1	1	1.61
மிசிகன்	109600	2670	1	1	1.61
தான்).	109600	2670	1	1	1.61
crisp-a	109600	2670	1	1	1.61
பாருங்க.தண்ணீரின்	109600	2670	1	1	1.61
மரங்களின்	109600	2670	1	1	1.61
மத்தபடி	109600	2670	1	1	1.61
நடு	109600	2670	1	1	1.61
சூப்பர்!	109600	2670	1	1	1.61
வடுவூர்	109600	2670	1	1	1.61
குமார்January	109600	2670	1	1	1.61
8:40 AM	109600	2670	1	1	1.61
எனக்கென்னவோ	109600	2670	1	1	1.61
பிடித்திருக்கு.	109600	2670	1	1	1.61
jeevagvJanuary	109600	2670	1	1	1.61
8:58 AM	109600	2670	1	1	1.61
பூக்களின்	109600	2670	1	1	1.61
சி.வி.ஆர்!	109600	2670	1	1	1.61
பிடித்தவரின்	109600	2670	1	1	1.61
பாராட்டாமல்	109600	2670	1	1	1.61
முடியவில்லை!!	109600	2670	1	1	1.61
மத்தபடி,	109600	2670	1	1	1.61
பிடிக்கல.	109600	2670	1	1	1.61
அனுசுயாJanuary	109600	2670	1	1	1.61
3:53 PM	109600	2670	1	1	1.61
G.RagavanJanuary	109600	2670	1	1	1.61
2:49 AM	109600	2670	1	1	1.61
மொத	109600	2670	1	1	1.61
அழகுன்னா	109600	2670	1	1	1.61
மூனாவது	109600	2670	1	1	1.61
முடியாது!!//	109600	2670	1	1	1.61
இப்பத்தான்	109600	2670	1	1	1.61
வந்தேன்.எனக்கெல்லாம்	109600	2670	1	1	1.61
தெரியுது.ஒரு	109600	2670	1	1	1.61
வேளைப்	109600	2670	1	1	1.61
வீட்டுல	109600	2670	1	1	1.61
மாட்டிங்கிறாங்க	109600	2670	1	1	1.61
போல!	109600	2670	1	1	1.61
BTW,	109600	2670	1	1	1.61
எடுத்துப்	109600	2670	1	1	1.61
போட்டேன்	109600	2670	1	1	1.61
flowers	109600	2670	1	1	1.61
contest'க்கு...	109600	2670	1	1	1.61
எல்லோருமே	109600	2670	1	1	1.61
கவனிக்கும்படி	109600	2670	1	1	1.61
இருப்பீர்கள்	109600	2670	1	1	1.61
வரவேற்பில்லையே!	109600	2670	1	1	1.61
பிடிக்கிறார்	109600	2670	1	1	1.61
டெக்னிஷியன்கள்,	109600	2670	1	1	1.61
உழைப்பில்	109600	2670	1	1	1.61
வழியேயும்	109600	2670	1	1	1.61
அக்காட்சிகளை	109600	2670	1	1	1.61
திருமணத்துக்குப்	109600	2670	1	1	1.61
ஆரம்பத்திலிருந்து	109600	2670	1	1	1.61
ஒருவித	109600	2670	1	1	1.61
ஏற்படுவதை	109600	2670	1	1	1.61
செய்துவிடுவார்.(பின்னாளில்	109600	2670	1	1	1.61
கே.பாலசந்தரின்..அச்சமில்லை..அச்சமில்லை.ஞாபகம்	109600	2670	1	1	1.61
வருகிறதா?)அந்தநாளில்..அந்தநாள்	109600	2670	1	1	1.61
நம்பாதே...ஏறாத	109600	2670	1	1	1.61
மலைமேலே..அபாய	109600	2670	1	1	1.61
அறிவிப்பு,	109600	2670	1	1	1.61
சுந்தரி	109600	2670	1	1	1.61
சௌந்தரி..குரங்கிலிருந்து	109600	2670	1	1	1.61
கமல்ஹாசன்..விஸ்வரூபம்	109600	2670	1	1	1.61
போடப்படுகின்றன.அதனால்தான்	109600	2670	1	1	1.61
ஏற்படுகிறது	109600	2670	1	1	1.61
வாழ்த்தினாலும்...வசூலிலும்	109600	2670	1	1	1.61
சாதனைப்	109600	2670	1	1	1.61
எதிர்பார்க்கலாம்.	109600	2670	1	1	1.61
பணம்..என்.எஸ்.கே.,மதுரம்.,பத்மினி.,	109600	2670	1	1	1.61
மிருகமும்,பரதேசி(தெலுங்கு),பொம்புடு	109600	2670	1	1	1.61
கொடுகு(தெலுங்கு)	109600	2670	1	1	1.61
பர்தெசி	109600	2670	1	1	1.61
பிக்க்ஷர்ஸ்	109600	2670	1	1	1.61
தயாரிப்பு.திரைக்கதை,இயக்கம்	109600	2670	1	1	1.61
எல்.வி	109600	2670	1	1	1.61
பிரசாத்.இசை	109600	2670	1	1	1.61
நாராயண	109600	2670	1	1	1.61
பேரில்..சற்று	109600	2670	1	1	1.61
..சில	109600	2670	1	1	1.61
இடைவெளியில்	109600	2670	1	1	1.61
நினைத்தாலும்...உடன்..நீண்ட	109600	2670	1	1	1.61
கழித்து..முன்னணி	109600	2670	1	1	1.61
நடித்து..வெற்றி	109600	2670	1	1	1.61
என்பதால்..கண்டிப்பாக	109600	2670	1	1	1.61
விமரிசனமாய்	109600	2670	1	1	1.61
எண்ணியதால்தான்	109600	2670	1	1	1.61
விட்டனர்..(சன்..கலைஞர்..???)	109600	2670	1	1	1.61
27-12-12	109600	2670	1	1	1.61
வெடிப்பு	109600	2670	1	1	1.61
13-11-12	109600	2670	1	1	1.61
வந்துவிட்டதே	109600	2670	1	1	1.61
(வரும்	109600	2670	1	1	1.61
விட்டார்	109600	2670	1	1	1.61
.போதிதர்மன்	109600	2670	1	1	1.61
ஓட்டைகள்	109600	2670	1	1	1.61
இருந்தாலும்..இரண்டே	109600	2670	1	1	1.61
முக்கால்	109600	2670	1	1	1.61
போவதே	109600	2670	1	1	1.61
வேகமாகப்	109600	2670	1	1	1.61
போகிறது	109600	2670	1	1	1.61
இருந்தும்..சில	109600	2670	1	1	1.61
அமைப்புகளாலும்..மதக்கலவரத்தைத்	109600	2670	1	1	1.61
தூண்டும்	109600	2670	1	1	1.61
விதமாகவும்	109600	2670	1	1	1.61
அமைந்துள்ளது	109600	2670	1	1	1.61
சில,	109600	2670	1	1	1.61
பாசிட்டிவான	109600	2670	1	1	1.61
ரிசல்ட்	109600	2670	1	1	1.61
ஆரம்பித்துள்ள	109600	2670	1	1	1.61
இளையதளபதி	109600	2670	1	1	1.61
விஜய்..மற்றும்	109600	2670	1	1	1.61
வியாழன்	109600	2670	1	1	1.61
பார்க்கிறேன்...அதற்கு	109600	2670	1	1	1.61
சமயத்திலே	109600	2670	1	1	1.61
கவலைத்	109600	2670	1	1	1.61
தெரியாம...நீங்க	109600	2670	1	1	1.61
வேற..'	109600	2670	1	1	1.61
'அடடே..உங்களுக்கு	109600	2670	1	1	1.61
தெரியாதா.9ஆம்	109600	2670	1	1	1.61
தேதியே	109600	2670	1	1	1.61
வரும்னு..மாப்பிள்ளை	109600	2670	1	1	1.61
பண்ணீருந்தாராம்.ஆனால்	109600	2670	1	1	1.61
போனதால...முதல்	109600	2670	1	1	1.61
பண்ணினவங்க	109600	2670	1	1	1.61
எல்லாம்..படம்	109600	2670	1	1	1.61
13ஆம்	109600	2670	1	1	1.61
தேதிக்கு	109600	2670	1	1	1.61
எடுப்...	109600	2670	1	1	1.61
விளைவுகள்	109600	2670	1	1	1.61
ஏற்படுகின்றன	109600	2670	1	1	1.61
சாரா.	109600	2670	1	1	1.61
படத்தொகுப்பாளர்	109600	2670	1	1	1.61
ஆபிரகாம்	109600	2670	1	1	1.61
சலிப்பின்றி	109600	2670	1	1	1.61
என்பதற்காகக்	109600	2670	1	1	1.61
செலுத்தியிருப்பது	109600	2670	1	1	1.61
தெரிகிறது.அது	109600	2670	1	1	1.61
அடிக்கும்தான்.	109600	2670	1	1	1.61
கரியா	109600	2670	1	1	1.61
அழிக்கப்படும்.^[29]	109600	2670	1	1	1.61
[250px-Edward_Law._Pencil_drawing_by_H._M._Raeburn%2C_1909._Wellcome_V0	109600	2670	1	1	1.61
003431.jpg]	109600	2670	1	1	1.61
நிலையானதாகத்	109600	2670	1	1	1.61
தோற்றமளிக்க	109600	2670	1	1	1.61
வைக்கிறது.^[30]	109600	2670	1	1	1.61
சுத்திகரிக்கப்பட்ட	109600	2670	1	1	1.61
கலையான	109600	2670	1	1	1.61
உடற்கூறியல்	109600	2670	1	1	1.61
புரிதலை	109600	2670	1	1	1.61
ஒளிவாங்கி,படமி(சுருக்கம்	109600	2670	1	1	1.61
ஒளிவாங்கி	109600	2670	1	1	1.61
'நி'	109600	2670	1	1	1.61
னா	109600	2670	1	1	1.61
(ஆங்கிலம்:	109600	2670	1	1	1.61
Camera)	109600	2670	1	1	1.61
பிடிப்பதற்கான	109600	2670	1	1	1.61
காட்சிகளிலிருந்து	109600	2670	1	1	1.61
ஒளியைக்	109600	2670	1	1	1.61
குவித்து	109600	2670	1	1	1.61
ஒளியுணர்வுள்ள	109600	2670	1	1	1.61
விழச்	109600	2670	1	1	1.61
மூலமே	109600	2670	1	1	1.61
பிடிக்கப்படுகின்றது.	109600	2670	1	1	1.61
எடுத்தாலும்,	109600	2670	1	1	1.61
பதிப்பிக்கும்பொழுது	109600	2670	1	1	1.61
ஆல்புமின்	109600	2670	1	1	1.61
யாருடைய	109600	2670	1	1	1.61
உதவியும்	109600	2670	1	1	1.61
திருமணம்,	109600	2670	1	1	1.61
காதணி	109600	2670	1	1	1.61
விசேஷங்களுக்குச்	109600	2670	1	1	1.61
எடுக்கவைக்கிறது.	109600	2670	1	1	1.61
விசேஷங்களுக்குக்	109600	2670	1	1	1.61
கூப்பிட்டா	109600	2670	1	1	1.61
போய்ப்	109600	2670	1	1	1.61
எடுப்பேன்”	109600	2670	1	1	1.61
கொண்டிருக்கும்போதே	109600	2670	1	1	1.61
வாடிக்கையாளர்கள்.	109600	2670	1	1	1.61
வேணும்”	109600	2670	1	1	1.61
என்றதும்,	109600	2670	1	1	1.61
கேமராவைக்	109600	2670	1	1	1.61
2.0.	109600	2670	1	1	1.61
தன்னியல்பாக	109600	2670	1	1	1.61
உள்ளிழுத்துக்	109600	2670	1	1	1.61
தந்தையைப்	109600	2670	1	1	1.61
குறும்பை	109600	2670	1	1	1.61
செய்வதுடன்	109600	2670	1	1	1.61
நிறைகிறது.	109600	2670	1	1	1.61
நாடுகளைக்	109600	2670	1	1	1.61
கண்காணிக்க,	109600	2670	1	1	1.61
நிலைக்கும்	109600	2670	1	1	1.61
பயங்கரத்தையும்	109600	2670	1	1	1.61
செய்திருக்கிறது.	109600	2670	1	1	1.61
எண்பதுகளின்	109600	2670	1	1	1.61
இயங்குவதால்	109600	2670	1	1	1.61
திறமையாக	109600	2670	1	1	1.61
வைக்கப்பட்டிருக்கின்றன.	109600	2670	1	1	1.61
நுட்பத்தின்	109600	2670	1	1	1.61
‘வித்தியாசமான’	109600	2670	1	1	1.61
பாவனையில்	109600	2670	1	1	1.61
வடையையே	109600	2670	1	1	1.61
முயன்றிருக்கிறார்கள்.	109600	2670	1	1	1.61
மார்வெலின்	109600	2670	1	1	1.61
பின்புலம்	109600	2670	1	1	1.61
தெரிந்துவிடும்.	109600	2670	1	1	1.61
என்பதைத்தான்	109600	2670	1	1	1.61
மல்ட்டிவெர்ஸ்கள்,	109600	2670	1	1	1.61
டைம்லூப்	109600	2670	1	1	1.61
போன்றவைகளால்	109600	2670	1	1	1.61
படங்களைவிடவும்	109600	2670	1	1	1.61
சூப்பராக	109600	2670	1	1	1.61
துவங்கும்போதே	109600	2670	1	1	1.61
புரிந்துவிடும்.	109600	2670	1	1	1.61
காற்றை	109600	2670	1	1	1.61
பிடிக்கறதுன்னு	109600	2670	1	1	1.61
கேட்காம	109600	2670	1	1	1.61
இருக்கீங்க.	109600	2670	1	1	1.61
தெரிகிற	109600	2670	1	1	1.61
பிடித்துள்ளீர்கள்.	109600	2670	1	1	1.61
மின்விசிறி	109600	2670	1	1	1.61
பயன்படுத்துவார்கள்.	109600	2670	1	1	1.61
எப்போ	109600	2670	1	1	1.61
பூ,	109600	2670	1	1	1.61
தொல்லை	109600	2670	1	1	1.61
முதலில்,	109600	2670	1	1	1.61
துவங்கியதுமே	109600	2670	1	1	1.61
சொல்லிக்கொடுக்கும்	109600	2670	1	1	1.61
ஆடியன்சுக்குச்	109600	2670	1	1	1.61
நினைக்கையில்,	109600	2670	1	1	1.61
செண்ட்டிமெண்ட்,	109600	2670	1	1	1.61
உவுவாகவேண்டிய	109600	2670	1	1	1.61
கன்னடத்தில்	109600	2670	1	1	1.61
இருப்பதாகப்	109600	2670	1	1	1.61
பேசவும்	109600	2670	1	1	1.61
செய்தனர்.	109600	2670	1	1	1.61
வாய்மொழியாகப்	109600	2670	1	1	1.61
பேசப்பட்டே	109600	2670	1	1	1.61
[Image_in_Glossographia.png]	109600	2670	1	1	1.61
படிமம்,	109600	2670	1	1	1.61
உளக்காட்சி"	109600	2670	1	1	1.61
வரையறைகள்^[1]^[2][250px-Image_created_with_a_mobile_phone.png]	109600	2670	1	1	1.61
படிமம்[250px-Faust_bei_der_Arbeit.JPG]	109600	2670	1	1	1.61
(Image)	109600	2670	1	1	1.61
எண்முறை	109600	2670	1	1	1.61
கணிணியை	109600	2670	1	1	1.61
உருவாக்காமல்,	109600	2670	1	1	1.61
விளையாடிக்	109600	2670	1	1	1.61
அடிப்பீர்கள்.	109600	2670	1	1	1.61
தேடுபொறியில்	109600	2670	1	1	1.61
நண்பர்களே,	109600	2670	1	1	1.61
2008ன்	109600	2670	1	1	1.61
அனுப்பவேண்டிய	109600	2670	1	1	1.61
காலகட்டம்	109600	2670	1	1	1.61
இன்றோடு	109600	2670	1	1	1.61
முடிவடைந்தது.	109600	2670	1	1	1.61
அமாங்ணா	109600	2670	1	1	1.61
வீட்டில	109600	2670	1	1	1.61
விடல	109600	2670	1	1	1.61
வச்சிருக்கேன்..	109600	2670	1	1	1.61
//ஸ்லைட்	109600	2670	1	1	1.61
இல்லை.//	109600	2670	1	1	1.61
உங்களுடையது	109600	2670	1	1	1.61
http://www.flickr.com/photos/ursathi/2194528661/	109600	2670	1	1	1.61
http://www.flickr.com/photos/ursathi/2195321392/	109600	2670	1	1	1.61
f/o	109600	2670	1	1	1.61
நிலாJanuary	109600	2670	1	1	1.61
7:49 PM	109600	2670	1	1	1.61
லிஸ்டில்	109600	2670	1	1	1.61
சொருவுர	109600	2670	1	1	1.61
ஆல்பத்தில்	109600	2670	1	1	1.61
கொடுங்க.!3	109600	2670	1	1	1.61
ஆரம்பிச்சி	109600	2670	1	1	1.61
வந்த	109600	2670	74	5	1.60
இந்தப்	109600	2670	28	3	1.59
ஐந்து	109600	2670	11	2	1.58
திரைக்கதை	109600	2670	11	2	1.58
என்னைப்	109600	2670	11	2	1.58
போது,	109600	2670	11	2	1.58
முழுக்க	109600	2670	11	2	1.58
ஸ்ட்ரேஞ்ச்	109600	2670	11	2	1.58
1	109600	2670	75	5	1.58
ஆனால்	109600	2670	133	7	1.55
இப்போது	109600	2670	30	3	1.52
Sunday,	109600	2670	12	2	1.51
அவசியம்	109600	2670	12	2	1.51
உக்ரம்	109600	2670	12	2	1.51
பழைய	109600	2670	54	4	1.49
தான்.	109600	2670	31	3	1.49
Wednesday,	109600	2670	13	2	1.45
English	109600	2670	33	3	1.42
அதிக	109600	2670	33	3	1.42
ஒரே	109600	2670	58	4	1.40
முடியவில்லை.	109600	2670	14	2	1.40
வர	109600	2670	14	2	1.40
skip	109600	2670	14	2	1.40
கேமரா	109600	2670	14	2	1.40
பட	109600	2670	34	3	1.40
2008	109600	2670	86	5	1.39
அதை	109600	2670	89	5	1.35
தெரியும்.	109600	2670	15	2	1.34
அரங்கு	109600	2670	15	2	1.34
11,	109600	2670	15	2	1.34
idiots	109600	2670	2	1	1.32
பத்மினி	109600	2670	2	1	1.32
ரசித்த	109600	2670	2	1	1.32
நினைத்தால்	109600	2670	2	1	1.32
சீரியஸாக	109600	2670	2	1	1.32
நிமிடங்கள்	109600	2670	2	1	1.32
ஆகாயத்தின்	109600	2670	2	1	1.32
பதிவைப்	109600	2670	2	1	1.32
சபாஷ்	109600	2670	2	1	1.32
பொம்மல	109600	2670	2	1	1.32
பெள்ளி	109600	2670	2	1	1.32
ஆணை	109600	2670	2	1	1.32
சாரங்கதாரா	109600	2670	2	1	1.32
முல்லை	109600	2670	2	1	1.32
பண்ண	109600	2670	2	1	1.32
3Dயாக	109600	2670	2	1	1.32
உண்டாகிறது.	109600	2670	2	1	1.32
கூடியது.	109600	2670	2	1	1.32
3Dல்	109600	2670	2	1	1.32
அப்போதுதான்	109600	2670	2	1	1.32
சிரித்து	109600	2670	2	1	1.32
ஆனந்த்	109600	2670	2	1	1.32
பாத்துட்டு	109600	2670	2	1	1.32
அப்படின்னு	109600	2670	2	1	1.32
கிளப்பப்போகும்	109600	2670	2	1	1.32
காலப்	109600	2670	2	1	1.32
பார்ப்பவர்கள்	109600	2670	2	1	1.32
80	109600	2670	2	1	1.32
எதிர்பாராதது	109600	2670	2	1	1.32
ராஜா.	109600	2670	2	1	1.32
வாழ்விலே	109600	2670	2	1	1.32
பாகங்களாக	109600	2670	2	1	1.32
அவளும்	109600	2670	2	1	1.32
கட்டுப்படுத்த	109600	2670	2	1	1.32
ஒன்றைப்	109600	2670	2	1	1.32
தாமதமாக	109600	2670	2	1	1.32
ஜவஹர்	109600	2670	2	1	1.32
ஆயிடுச்சு.	109600	2670	2	1	1.32
கலகலன்னு	109600	2670	2	1	1.32
பாத்ததுக்கு	109600	2670	2	1	1.32
அமீர்	109600	2670	2	1	1.32
இல்லியாம்.	109600	2670	2	1	1.32
புதுக்	109600	2670	2	1	1.32
தூரிகை	109600	2670	2	1	1.32
போயிற்று.	109600	2670	2	1	1.32
முடியும்?	109600	2670	2	1	1.32
அரைகுறை	109600	2670	2	1	1.32
வரைபடத்தை	109600	2670	2	1	1.32
-2	109600	2670	2	1	1.32
செல்லம்	109600	2670	2	1	1.32
ஹொய்சளர்கள்	109600	2670	2	1	1.32
கோவிலில்	109600	2670	2	1	1.32
ஆச்சரியத்தை	109600	2670	2	1	1.32
அலை	109600	2670	2	1	1.32
டூப்ளிகேட்	109600	2670	2	1	1.32
அளவுகள்	109600	2670	2	1	1.32
கொடுத்துள்ளேன்.	109600	2670	2	1	1.32
அமைத்தால்	109600	2670	2	1	1.32
பிரேமில்	109600	2670	2	1	1.32
பார்வையாளரை	109600	2670	2	1	1.32
மொழிபெயர்ப்புகள்	109600	2670	2	1	1.32
Kurdî	109600	2670	2	1	1.32
Malagasy	109600	2670	2	1	1.32
मराठी	109600	2670	2	1	1.32
Star	109600	2670	2	1	1.32
சந்தேகமே.	109600	2670	2	1	1.32
டிவியில்	109600	2670	2	1	1.32
வா'	109600	2670	2	1	1.32
Dec	109600	2670	2	1	1.32
பார்க்கும்போது	109600	2670	2	1	1.32
உற்சாகம்	109600	2670	2	1	1.32
ஒதுக்கிவிட்டு	109600	2670	2	1	1.32
ரொம்பப்	109600	2670	2	1	1.32
சிவம்.	109600	2670	2	1	1.32
கோணத்திலும்	109600	2670	2	1	1.32
முன்னமே	109600	2670	2	1	1.32
கண்ணீருடன்	109600	2670	2	1	1.32
சிரித்தபடி	109600	2670	2	1	1.32
சொன்னது	109600	2670	2	1	1.32
அப்படித்தான்	109600	2670	2	1	1.32
நினைக்கிறேன்..	109600	2670	2	1	1.32
பெயர்கள்	109600	2670	2	1	1.32
Lessons	109600	2670	2	1	1.32
சிரமம்	109600	2670	2	1	1.32
பரவாயில்லை	109600	2670	2	1	1.32
மதுமிதாOctober	109600	2670	2	1	1.32
5D	109600	2670	2	1	1.32
